Slider by Soliloquy Ч Responsive Image Slider for WordPress;https://ru.wordpress.org/plugins/soliloquy-lite/;The best WordPress slider plugin. Drag & Drop responsive slider builder that helps you createЕ;6.1.1
FAQ Block;https://ru.wordpress.org/plugins/faq-block/;ќчень простой и пон€тный блок Gutenberg дл€ FAQ (часто задаваемые вопросы).;6.0.3
CP Contact Form with PayPal;https://ru.wordpress.org/plugins/cp-contact-form-with-paypal/;PayPal integration for contact forms, payment forms, order forms. Adds a contact form and connectЕ;6.1.1
Snow Monkey Editor;https://ru.wordpress.org/plugins/snow-monkey-editor/;The Snow Monkey Editor is a plugin that extends the block editor.;6.1.1
Classic Editor;https://ru.wordpress.org/plugins/classic-editor/;¬ключает предыдущую Ђклассическуюї версию редактора и экран редактировани€ записей в старом стиле, с TinyMCE, пол€миЕ;6.1.1
Akismet Spam Protection;https://ru.wordpress.org/plugins/akismet/;Ћучша€ защита от спама дл€ блокировки спам-комментариев и спама в контактной форме. —амое надежное решениеЕ;6.1.1
Jetpack предназначен дл€ защиты, резервного копировани€, повышени€ скорости работы и развити€ вашего сайта WordPress;https://ru.wordpress.org/plugins/jetpack/;ќбеспечьте дополнительную защиту сайта WordPress с помощью простых, но эффективных инструментов: резервного копировани€ и проверкиЕ;6.1.1
Classic Widgets;https://ru.wordpress.org/plugins/classic-widgets/;¬ключает экраны настройки классических виджетов в ¬нешний вид Ч ¬иджеты и интерфейс настройки темы. ќтключаетЕ;6.1.1
Plugin Dependencies;https://ru.wordpress.org/plugins/wp-plugin-dependencies/;Parses a 'Requires Plugins' header and adds a Dependencies tab in the plugin install page.Е;6.2
Gutenberg;https://ru.wordpress.org/plugins/gutenberg/;ѕлагин Gutenberg предоставл€ет функции редактировани€, настройки и построени€ сайтов на WordPress. Ётот бета-плагин позвол€ет отработатьЕ;6.1.1
Performance Lab;https://ru.wordpress.org/plugins/performance-lab/;ѕлагин производительности от ЂWordPress Performance Teamї, который содержит набор автономных модулей производительности.;6.1.1
Two-Factor;https://ru.wordpress.org/plugins/two-factor/;¬ключить двухфакторную аутентификацию с использованием одноразовых паролей (OTP, Google Authenticator), ”ниверсальный 2-й фактор (FIDO U2F,Е;6.0.3
Contact Form 7;https://ru.wordpress.org/plugins/contact-form-7/;≈щЄ один плагин контактных форм. ѕростой, но гибкий.;6.1.1
